Source,Target,Type,Id,Label,timeset,Weight
0,1,Undirected,0,,,1
0,2,Undirected,1,,,1
0,3,Undirected,2,,,1
0,4,Undirected,3,,,1
0,5,Undirected,4,,,1
0,6,Undirected,5,,,1
0,7,Undirected,6,,,1
0,8,Undirected,7,,,1
0,9,Undirected,8,,,1
0,10,Undirected,9,,,1
0,11,Undirected,10,,,1
0,12,Undirected,11,,,1
0,13,Undirected,12,,,1
0,14,Undirected,13,,,1
0,15,Undirected,14,,,1
0,16,Undirected,15,,,1
0,17,Undirected,16,,,1
0,18,Undirected,17,,,1
0,19,Undirected,18,,,1
0,20,Undirected,19,,,1
0,21,Undirected,20,,,1
0,22,Undirected,21,,,1
0,23,Undirected,22,,,1
0,24,Undirected,23,,,1
0,25,Undirected,24,,,1
0,26,Undirected,25,,,1
0,27,Undirected,26,,,1
0,28,Undirected,27,,,1
0,29,Undirected,28,,,1
0,30,Undirected,29,,,1
0,31,Undirected,30,,,1
0,32,Undirected,31,,,1
0,33,Undirected,32,,,1
0,34,Undirected,33,,,1
0,35,Undirected,34,,,1
0,36,Undirected,35,,,1
0,37,Undirected,36,,,1
0,38,Undirected,37,,,1
0,39,Undirected,38,,,1
0,40,Undirected,39,,,1
0,41,Undirected,40,,,1
0,42,Undirected,41,,,1
0,43,Undirected,42,,,1
