Source,Target,Type,Id,Label,timeset,Weight
0,48,Undirected,0,,,1
49,67,Undirected,1,,,1
17,36,Undirected,2,,,1
1,21,Undirected,3,,,1
1,23,Undirected,4,,,1
0,54,Undirected,5,,,1
49,73,Undirected,6,,,1
1,25,Undirected,7,,,1
17,42,Undirected,8,,,1
0,57,Undirected,9,,,1
0,58,Undirected,10,,,1
0,59,Undirected,11,,,1
17,45,Undirected,12,,,1
0,62,Undirected,13,,,1
17,49,Undirected,14,,,1
49,81,Undirected,15,,,1
2,3,Undirected,16,,,1
16,82,Undirected,17,,,1
2,6,Undirected,18,,,1
2,7,Undirected,19,,,1
98,104,Undirected,20,,,1
0,71,Undirected,21,,,1
49,89,Undirected,22,,,1
98,109,Undirected,23,,,1
33,76,Undirected,24,,,1
2,15,Undirected,25,,,1
66,79,Undirected,26,,,1
17,65,Undirected,27,,,1
0,80,Undirected,28,,,1
17,67,Undirected,29,,,1
18,36,Undirected,30,,,1
2,20,Undirected,31,,,1
0,82,Undirected,32,,,1
0,83,Undirected,33,,,1
1,52,Undirected,34,,,1
50,70,Undirected,35,,,1
0,84,Undirected,36,,,1
2,24,Undirected,37,,,1
1,55,Undirected,38,,,1
2,25,Undirected,39,,,1
17,73,Undirected,40,,,1
18,42,Undirected,41,,,1
0,88,Undirected,42,,,1
50,75,Undirected,43,,,1
18,45,Undirected,44,,,1
0,91,Undirected,45,,,1
17,78,Undirected,46,,,1
2,31,Undirected,47,,,1
0,93,Undirected,48,,,1
0,94,Undirected,49,,,1
1,63,Undirected,50,,,1
18,49,Undirected,51,,,1
17,81,Undirected,52,,,1
3,4,Undirected,53,,,1
0,98,Undirected,54,,,1
3,6,Undirected,55,,,1
50,86,Undirected,56,,,1
67,73,Undirected,57,,,1
0,102,Undirected,58,,,1
3,9,Undirected,59,,,1
0,103,Undirected,60,,,1
17,89,Undirected,61,,,1
0,104,Undirected,62,,,1
19,27,Undirected,63,,,1
3,11,Undirected,64,,,1
0,105,Undirected,65,,,1
3,15,Undirected,66,,,1
35,47,Undirected,67,,,1
0,109,Undirected,68,,,1
67,81,Undirected,69,,,1
18,65,Undirected,70,,,1
19,34,Undirected,71,,,1
3,19,Undirected,72,,,1
35,51,Undirected,73,,,1
18,67,Undirected,74,,,1
3,21,Undirected,75,,,1
67,89,Undirected,76,,,1
83,105,Undirected,77,,,1
3,25,Undirected,78,,,1
1,87,Undirected,79,,,1
18,73,Undirected,80,,,1
3,28,Undirected,81,,,1
1,91,Undirected,82,,,1
18,78,Undirected,83,,,1
18,81,Undirected,84,,,1
3,34,Undirected,85,,,1
4,6,Undirected,86,,,1
1,101,Undirected,87,,,1
4,9,Undirected,88,,,1
36,42,Undirected,89,,,1
2,72,Undirected,90,,,1
18,89,Undirected,91,,,1
4,11,Undirected,92,,,1
4,12,Undirected,93,,,1
36,45,Undirected,94,,,1
1,106,Undirected,95,,,1
4,15,Undirected,96,,,1
36,49,Undirected,97,,,1
4,28,Undirected,98,,,1
36,65,Undirected,99,,,1
36,67,Undirected,100,,,1
3,66,Undirected,101,,,1
36,73,Undirected,102,,,1
5,14,Undirected,103,,,1
36,78,Undirected,104,,,1
3,77,Undirected,105,,,1
5,16,Undirected,106,,,1
3,79,Undirected,107,,,1
36,81,Undirected,108,,,1
3,87,Undirected,109,,,1
36,89,Undirected,110,,,1
3,91,Undirected,111,,,1
5,30,Undirected,112,,,1
5,34,Undirected,113,,,1
5,37,Undirected,114,,,1
4,69,Undirected,115,,,1
38,40,Undirected,116,,,1
6,9,Undirected,117,,,1
70,75,Undirected,118,,,1
6,11,Undirected,119,,,1
37,76,Undirected,120,,,1
6,15,Undirected,121,,,1
4,77,Undirected,122,,,1
5,50,Undirected,123,,,1
6,19,Undirected,124,,,1
6,21,Undirected,125,,,1
6,22,Undirected,126,,,1
70,86,Undirected,127,,,1
22,38,Undirected,128,,,1
6,25,Undirected,129,,,1
6,28,Undirected,130,,,1
6,34,Undirected,131,,,1
5,68,Undirected,132,,,1
5,70,Undirected,133,,,1
5,75,Undirected,134,,,1
21,91,Undirected,135,,,1
4,107,Undirected,136,,,1
5,86,Undirected,137,,,1
5,90,Undirected,138,,,1
6,66,Undirected,139,,,1
104,109,Undirected,140,,,1
8,13,Undirected,141,,,1
24,31,Undirected,142,,,1
6,77,Undirected,143,,,1
6,79,Undirected,144,,,1
8,22,Undirected,145,,,1
55,101,Undirected,146,,,1
56,74,Undirected,147,,,1
8,29,Undirected,148,,,1
6,91,Undirected,149,,,1
8,30,Undirected,150,,,1
39,100,Undirected,151,,,1
8,38,Undirected,152,,,1
9,11,Undirected,153,,,1
8,44,Undirected,154,,,1
9,15,Undirected,155,,,1
73,81,Undirected,156,,,1
73,89,Undirected,157,,,1
57,80,Undirected,158,,,1
25,52,Undirected,159,,,1
10,13,Undirected,160,,,1
9,63,Undirected,161,,,1
42,65,Undirected,162,,,1
58,83,Undirected,163,,,1
9,66,Undirected,164,,,1
42,78,Undirected,165,,,1
11,15,Undirected,166,,,1
9,79,Undirected,167,,,1
11,21,Undirected,168,,,1
27,38,Undirected,169,,,1
75,86,Undirected,170,,,1
27,40,Undirected,171,,,1
58,105,Undirected,172,,,1
10,58,Undirected,173,,,1
10,71,Undirected,174,,,1
26,92,Undirected,175,,,1
28,32,Undirected,176,,,1
10,83,Undirected,177,,,1
26,108,Undirected,178,,,1
43,98,Undirected,179,,,1
10,99,Undirected,180,,,1
10,102,Undirected,181,,,1
43,104,Undirected,182,,,1
10,105,Undirected,183,,,1
29,30,Undirected,184,,,1
43,109,Undirected,185,,,1
61,64,Undirected,186,,,1
60,95,Undirected,187,,,1
45,49,Undirected,188,,,1
11,91,Undirected,189,,,1
28,77,Undirected,190,,,1
45,67,Undirected,191,,,1
12,69,Undirected,192,,,1
45,73,Undirected,193,,,1
29,62,Undirected,194,,,1
45,81,Undirected,195,,,1
46,53,Undirected,196,,,1
13,56,Undirected,197,,,1
45,89,Undirected,198,,,1
13,58,Undirected,199,,,1
14,30,Undirected,200,,,1
62,84,Undirected,201,,,1
29,84,Undirected,202,,,1
13,74,Undirected,203,,,1
12,107,Undirected,204,,,1
14,46,Undirected,205,,,1
47,51,Undirected,206,,,1
13,83,Undirected,207,,,1
14,53,Undirected,208,,,1
15,25,Undirected,209,,,1
15,28,Undirected,210,,,1
13,105,Undirected,211,,,1
96,97,Undirected,212,,,1
0,1,Undirected,213,,,1
0,2,Undirected,214,,,1
0,3,Undirected,215,,,1
0,4,Undirected,216,,,1
0,5,Undirected,217,,,1
0,6,Undirected,218,,,1
0,7,Undirected,219,,,1
14,85,Undirected,220,,,1
32,39,Undirected,221,,,1
0,9,Undirected,222,,,1
0,10,Undirected,223,,,1
0,11,Undirected,224,,,1
0,13,Undirected,225,,,1
0,15,Undirected,226,,,1
0,16,Undirected,227,,,1
0,20,Undirected,228,,,1
16,37,Undirected,229,,,1
0,21,Undirected,230,,,1
0,23,Undirected,231,,,1
0,25,Undirected,232,,,1
0,29,Undirected,233,,,1
15,77,Undirected,234,,,1
17,18,Undirected,235,,,1
0,33,Undirected,236,,,1
1,3,Undirected,237,,,1
0,35,Undirected,238,,,1
1,4,Undirected,239,,,1
33,37,Undirected,240,,,1
0,37,Undirected,241,,,1
1,6,Undirected,242,,,1
81,89,Undirected,243,,,1
1,9,Undirected,244,,,1
0,41,Undirected,245,,,1
1,11,Undirected,246,,,1
0,43,Undirected,247,,,1
65,78,Undirected,248,,,1
1,15,Undirected,249,,,1
